"","time_frequency_month","RMSE","RMSE_SD"
"1",0,0.421611862245299,0.0801827942826747
"2",1,0.33504533952989,0.140244044094091
"3",2,0.286989143087456,0.246960903346202
"4",3,0.42912747191926,0.247209089436358
"5",4,0.347797850481534,0.215940193556319
