"","time_frequency_month","RMSE","RMSE_SD"
"1",0,0.470027813535596,0.112619203014164
"2",1,0.512535831062693,0.115496740636851
"3",2,0.507724450036063,0.142037283342891
"4",3,0.473044090308503,0.154479270186684
"5",4,0.508858874744828,0.235108522833779
